CODIGO;DETERMINACIONES;Frecuencia
662011;ÁCAROS y ARTRÓPODOS, Investigación de vectores;PE
662017;ACETILCOLINA;PE
662025;ACETILCOLINA, Ac. Anti- RECEPTORES (ACRA);PE
662034;ACETILCOLINESTERASA ERITROCITARIA (ACHE);PE
662051;ACETONA CUANTITATIVA - sérica;PE
662059;ACETONA CUANTITATIVA - urinaria;PE
662068;ÁCIDO 3 METIL-INDOL;PE
662085;ÁCIDO 5 HIDROX-INDOL ACÉTICO (HPLC);PE
662093;ÁCIDO ACETOACÉTICO;PE
662102;ÁCIDO ALFA CETÓNICO;PE
662111;ÁCIDO BETA HIDROXIBUTÍRICO;PE
662119;ÁCIDO CÍTRICO - plasmático;PE
662120;ÁCIDO CÍTRICO - urinario;PE
662128;ÁCIDO FENIL ACÉTICO (AFA);PE
662136;ÁCIDO FENIL GLIOXÍLICO;PE
662153;ÁCIDO FOLICO - intraeritrocitario.;PE
662162;ÁCIDO FÓRMICO;PE
662170;ÁCIDO FOSFATÍDICO, Ac. IgG Anti-;PE
662179;ÁCIDO FOSFATÍDICO, Ac. IgM Anti-;PE
662181;ÁCIDO FUROICO;PE
662182;ÁCIDO GAMMA-AMINOBUTÍRICO (GABA);PE
662183;ÁCIDO GLUTÁMICO;PE
662184;ÁCIDO GUANIDINACÉTICO.;PE
662187;ÁCIDO HIPÚRICO - urinario;PE
662205;ÁCIDO HOMOVANÍLICO - HVA;PE
662222;ÁCIDO INDOLACETICO, 5 HIDROXI -3-METIL;PE
662236;ÁCIDO LÁCTICO - LCR;PE
662239;ÁCIDO LÁCTICO - urinario;PE
662247;ÁCIDO LISÉRGICO (LSD);PE
662252;ÁCIDO MÁLICO;PE
662256;ÁCIDO MANDÉLICO;PE
662264;ÁCIDO METIL HIPÚRICO;PE
662273;ÁCIDO METIL MALÓNICO;PE
662277;ÁCIDO MUCÓNICO;PE
662281;ÁCIDO ORÓTICO;PE
662296;ÁCIDO OXALICO - sérico;PE
662299;ÁCIDO OXALICO - urinario (2/ 12 / 24 hs. - c/u);PE
662307;ÁCIDO PERCLÓRICO;PE
662316;ÁCIDO PIRUVICO - sérico;PE
662328;ÁCIDO SALICÍLICO - sérico;PE
662330;ÁCIDO SALICÍLICO - urinario;PE
662341;ÁCIDO SIALICO;PE
662346;ÁCIDO SUCCÍNICO;PE
662350;ÁCIDO TIOGLICÓLICO;PE
662358;ÁCIDO TRICLOROACÉTICO;PE
662367;ÁCIDOS BILIARES - séricos.;PE
662375;ÁCIDOS GRASOS DE CADENA MUY LARGA;PE
662379;ÁCIDOS GRASOS NO ESTERIFICADOS (NEFA);PE
662393;ÁCIDOS ORGÁNICOS - urinarios;PE
662401;ACIL CARNITINAS - plasmáticos;PE
662405;ACTINA AC (AAC) - IFI;PE
662410;ACUAPORINA 4 - Neuromielitis Optica–Ac. IgG (NMO-Ac. IgG);PE
662417;ADENOSIN DEAMINASA - LCR;PE
662418;ADENOSIN DEAMINASA - líquido pleural;PE
662427;ADENOVIRUS, Ac. IgG o Totales, Anti-;PE
662435;ADENOVIRUS, Ac. IgM, Anti-;PE
662444;ADENOVIRUS, Ag.;PE
662446;ADENOVIRUS - PCR;PE
662448;ADENOVIRUS - Carga viral ;PE
662452;ADRENAL, Ac. Totales Anti-;PE
662461;ALDOSTERONA - urinaria;PE
662469;ALDRIN;PE
