;Practicas;MODULOS2;CODIGOS;NOMENCLADORES;cuit;nombre;nomenclador;codigo;copago_especial
180129;ecografía de rodilla; 39.340,94 ;185113;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185113;39340,94
180132;Ecografia Obstetrica con Scan fetal; 49.831,72 ;185013;N OSMISS;30714521817;SANATORIO DEL OESTE;4;185013;49831,72
255101;Modulo de kinesiologia simple (comprende la realizacion de los codigos 250101 + 250102 , incluyendo los recursos profesionales y tecnologicos); 10.910,54 ;250101;NN;30714521817;SANATORIO DEL OESTE;2;250101;10910,54
255102;Modulo de kinesiologia completo (comprende la realizacion de los codigos 250101 + 250102 + laser y/o magneto terapia, incluyendo los recursos profesionales y tecnologicos; 13.707,52 ;250102;NN;30714521817;SANATORIO DEL OESTE;2;250102;13707,52
285106;videofibrobroncoscopía(*); 199.850,15 ;285034;N OSMISS;30714521817;SANATORIO DEL OESTE;4;285034;199850,15
285107;videofibroendoscopía terapéutica (*); 295.053,08 ;285035;N OSMISS;30714521817;SANATORIO DEL OESTE;4;285035;295053,08
285108;Rinofibrolaringoscopia-Nasofibrolaringotraqueoscopía (*); 48.258,01 ;315019;N OSMISS;30714521817;SANATORIO DEL OESTE;4;315019;48258,01
280111;Espirometría computarizada; 33.571,30 ;285028;N OSMISS;30714521817;SANATORIO DEL OESTE;4;285028;33571,30
280112;Test de Provocacion por ejercicio ; 55.920,82 ;285036;N OSMISS;30714521817;SANATORIO DEL OESTE;4;285036;55920,82
290111;Potenciales evocados,auditivos visuales, somatosensitivos,troncocerebrales,brea,cera, pudendos,cuerpos caver. Por un solo estudio; 47.474,08 ;295060;N OSMISS;30714521817;SANATORIO DEL OESTE;4;295060;47474,08
295111;Potenciales evocados 4MM; 75.506,39 ;295012;N OSMISS;30714521817;SANATORIO DEL OESTE;4;295012;75506,39
290114;Potenciales evocados por estudio subsig. c/u; 45.213,41 ;;N OSMISS;30714521817;SANATORIO DEL OESTE;4;0;45213,41
290104;ELECTROMIOGRAFIA DE MIEMBROS SUPERIORES O INFERIO-; 59.175,56 ;290104;NN;30714521817;SANATORIO DEL OESTE;2;290104;59175,56
290105;ELECTROMIOGRAFIA DE LOS CUATRO MIEMBROS; 221.908,58 ;290105;NN;30714521817;SANATORIO DEL OESTE;2;290105;221908,58
290106;ELECTROMIOGRAFIA CON VELOCIDAD DE CONDUCCION; 70.271,09 ;290106;NN;30714521817;SANATORIO DEL OESTE;2;290106;70271,09
290202;Polisomnografía nocturna con oximetría; 484.675,06 ;295023;N OSMISS;30714521817;SANATORIO DEL OESTE;4;295023;484675,06
290203;Polisomnografía nocturna con titulación de CPAP; 576.467,94 ;295024;N OSMISS;30714521817;SANATORIO DEL OESTE;4;295024;576467,94
290204;Test de 6 minutos; 104.645,23 ;285006;N OSMISS;30714521817;SANATORIO DEL OESTE;4;285006;104645,23
290112;EEG CON ACTV. COMPLEJA C/ESTIMULACION LUMINICA O HIPERVENTILA; 41.093,77 ;290102;NN;30714521817;SANATORIO DEL OESTE;2;290102;41093,77
290212;ELECTROECEFALOGRAMA  CON SUEÑO PROLONGADO, CON ACTIVACION COMPLEJA Y ESTIMULACION LUMINICA; 74.790,22 ;295002;N OSMISS;30714521817;SANATORIO DEL OESTE;4;295002;74790,22
310127;Otoemisiones Acústicas Ley 25415; 30.161,25 ;315013;N OSMISS;30714521817;SANATORIO DEL OESTE;4;315013;30161,25
310102;Audiometria; 12.559,28 ;310102;NN;30714521817;SANATORIO DEL OESTE;2;310102;12559,28
310103;Logoaudiometria; 12.559,28 ;310103;NN;30714521817;SANATORIO DEL OESTE;2;310103;12559,28
310104;Pruebas supraliminares; 12.559,28 ;310104;NN;30714521817;SANATORIO DEL OESTE;2;310104;12559,28
310109;Impedanciometría; 12.559,28 ;310109;NN;30714521817;SANATORIO DEL OESTE;2;310109;12559,28
315103;Timpanometria; 13.638,22 ;315006;N OSMISS;30714521817;SANATORIO DEL OESTE;4;315006;13638,22
310128;Acufenometria; 12.611,80 ;315001;N OSMISS;30714521817;SANATORIO DEL OESTE;4;315001;12611,80
345602;Marcación pre-quirúrgica de lesiones mamarias no palpables(con suspensión de carbón y/o arpón); 162.608,15 ;346020;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346020;162608,15
345603;Radiología localizada c/técnica de magnificac.uniteral; 33.308,69 ;346007;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346007;33308,69
345604;Radiología localizada c/técnica de magnificac.bilateral; 66.617,37 ;346008;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346008;66617,37
345608;Radiografía magnificada pieza operatoria (unilateral); 33.308,69 ;346013;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346013;33308,69
345609;Radiografía magnificada pieza operatoria (bilateral); 64.255,81 ;346014;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346014;64255,81
34561;Marcación pre-quirúrgica de lesiones mamarias no palpables con suspensión de carbón con aguja tipo anzuelo; 166.804,07 ;346021;N OSMISS;30714521817;SANATORIO DEL OESTE;4;346021;166804,07
