codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
340802;CONTROL RADIOSC.P/COLOC.MARC.DEFIN.C/EL.;146803;340802;NN;ALTA;20000
340803;CONTROL RADIOSC.P/CATET.DERECHO Y/O IZQ.;146803;340803;NN;ALTA;20000
340804;CARDIOG.O ANGIOCARD-MIN.6PL.O 15M.PELIC.;146803;340804;NN;ALTA;20000
340805;CORONORAG,INCL.VENTRIC.-MIN.45M.PELICULA;146803;340805;NN;ALTA;20000
340806;INVESTIG.FISTULAS VASCUL.PULMON,MIN.12PL;146803;340806;NN;ALTA;20000
340807;PANARTERIOG.CAYADO AORTICO Y VASOS CUELL;146803;340807;NN;ALTA;20000
340808;AORTOGRAF.P/PUNC.LUMBAR,PRIM.EXPOSICION;146803;340808;NN;ALTA;20000
340809;AORTOGRAFIA P/PUNC.LUMBAR,P/C.EXP.SUBSIG;146803;340809;NN;ALTA;20000
340810;ARTERIOG.ARTERIAS MEDUL.Y/O INTERCOSTAL.;146803;340810;NN;ALTA;20000
340811;ARTERIOGRAF.SELECT.RAMAS AORTA ABD.6PLAC;146803;340811;NN;ALTA;20000
340812;ARTERIOG.PERIF.MIEMB.P/PUNC.PRIM.EXPOSIC;146803;340812;NN;ALTA;20000
340813;ARTERIOG.PERIF.MIEMB.P/PUNC.CADA EXPOSIC;146803;340813;NN;ALTA;20000
340814;CAVOGRAFIA -PRIMERA EXPOSICION-;146803;340814;NN;ALTA;20000
340815;CAVOGRAFIA -P/CADA EXPOS.SUBS.HAST.4 EXP;146803;340815;NN;ALTA;20000
340816;ESPLENOPORTOGRAFIA P/PUNCION ESPLENICA;146803;340816;NN;ALTA;20000
340817;ESPLENOPORTOG.P/EXPOS.SUBS.Y HA.4 EXPOS.;146803;340817;NN;ALTA;20000
340818;FLEBOGRAFIA SELECT.AFLUENTES ABD.O TORAX;146803;340818;NN;ALTA;20000
340819;FLEBOLOG.SELECT.AFLUENT.ABD.O TOR.V.CAVA;146803;340819;NN;ALTA;20000
340820;FLEBOLOG.MIEMB.SUP.O INF.PRIM.EXPOSICION;146803;340820;NN;ALTA;20000
340821;FLEBOG.MIEMB.SUP.O INF.P/C.EXP.SUBSIGTE.;146803;340821;NN;ALTA;20000
340822;LINFOGRAFIA POR EXPOSICION;146803;340822;NN;ALTA;20000
340901;TOMOGRAFIA LINEAL,CUALQ.SEA ZONA O SIST.;146803;340901;NN;ALTA;20000
