codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
660244;CHAGAS, PARASITEMIA;5484;660244;NBU;BAJA;10000
660245;CHAGAS, SEROLOGIA - CONFIRMATORIO;10054;660245;NBU;BAJA;10000
660262;DEHIDROEPIANDROSTERONA, SULFATO - DHEA-S;10054;660262;NBU;BAJA;10000
660264;DESCARTABLE, MATERIAL COMPLEMENTARIO (DMC);1828;660264;NBU;BAJA;10000
660265;DESCARTABLE, MATERIAL DE BIOSEGURIDAD. ;2742;660265;NBU;BAJA;10000
660268;DIGOXIN (DIGOXINA);13710;660268;NBU;BAJA;10000
660269;DISACARIDASAS;0;660269;NBU;BAJA;10000
660272;DOMICILIO EN RADIO URBANO - HASTA DOS (2) KMS;9140;660272;NBU;BAJA;10000
660273;"DOMICILIO A MAS DE DOS (2) KMS. - ADICIONAL POR
C/KM";2742;660273;NBU;BAJA;10000
660293;EMBARAZO, REACCION INMUNOLOGICA PARA;3199;660293;NBU;BAJA;10000
660295;EOSINOFILOS, RECUENTO DE (EN MOCO NASAL);914;660295;NBU;BAJA;10000
660297;ERITROSEDIMENTACION;1828;660297;NBU;BAJA;10000
660298;ESPERMOGRAMA BASICO (EIVE);25592;660298;NBU;BAJA;10000
660299;ESTRICNINA - LIQUIDOS BIOLOGICOS;0;660299;NBU;BAJA;10000
660300;ESTRADIOL (E2) - SERICO;9140;660300;NBU;BAJA;10000
660301;ESTRIOL - URINARIO;11882;660301;NBU;BAJA;10000
660302;ESTRIOL - SERICO;11882;660302;NBU;BAJA;10000
660305;ESTRONA - SERICA;13710;660305;NBU;BAJA;10000
660307;ETANOL, ALCOHOL ETILICO - URINARIO. (ALCOLURIA);9140;660307;NBU;BAJA;10000
660308;EUGLOBULINAS, TEST DE;4570;660308;NBU;BAJA;10000
660309;EXUDADO NASOFARINGEO, CULTIVO;4570;660309;NBU;BAJA;10000
660331;FACTOR DE COAGULACION V;22850;660331;NBU;BAJA;10000
660332;FACTOR DE COAGULACION VII;22850;660332;NBU;BAJA;10000
660333;FACTOR DE COAGULACION VIII;27420;660333;NBU;BAJA;10000
660334;FACTOR DE COAGULACION IX;27420;660334;NBU;BAJA;10000
660335;FACTOR DE COAGULACION X;22850;660335;NBU;BAJA;10000
660336;FACTOR DE MIGRACION LINFOCITARIA - MIF;0;660336;NBU;BAJA;10000
660337;FENILALANINA CONFIRMATORIO (HPLC);27420;660337;NBU;BAJA;10000
660338;FENILALANINA, NEONATAL (PKU);6398;660338;NBU;BAJA;10000
660340;FENILPIRUVICO, ACIDO - URINARIO (CUALITATIVO);9140;660340;NBU;BAJA;10000
660342;FENOTIAZINAS;13710;660342;NBU;BAJA;10000
660343;FERREMIA (FE);1828;660343;NBU;BAJA;10000
660344;"FIBRINOGENO, PRODUCTOS DE DEGRADACION - PDF -
PLASMATICO";31990;660344;NBU;BAJA;10000
660345;FIBRINOGENO - SANGRE;10968;660345;NBU;BAJA;10000
660349;FISICO QUIMICO - EXAMEN DE EXUDADOS, TRASUDADOS;9140;660349;NBU;BAJA;10000
660350;FLUOREMIA (F);9140;660350;NBU;BAJA;10000
