Código;Nomenclador;Práctica;Valor;Servicio
346129;N OSMISS;TOMOGRAFIA MULTISCLICE DE CUERPO ENTERO;869740,45;TOMOGRAFIA COMPUTADA
346164;N OSMISS;TOMOGRAFIA MULTISCLICE DE RIÑONES Y VIAS URINARIAS CON RECONSTRUCCION;259303,75;TOMOGRAFIA COMPUTADA
346117;N OSMISS;TOMOGRAFIA MULTISCLICE DE TORAX CON VOLUMETRIA DE NODULOS PULMONA;207441,06;TOMOGRAFIA COMPUTADA
346121;N OSMISS;TOMOGRAFIA MULTISCLICE HEPATICA CON VOLUMETRIA (VOLUMEN HEPATICO TO;259303,75;TOMOGRAFIA COMPUTADA
346131;N OSMISS;TOMOGRAFIA MULTISCLICE PARA EVALUACION VOLUMETRICA DE GRASA CORPOR;207441,06;TOMOGRAFIA COMPUTADA
346115;N OSMISS;TOMOGRAFIA MULTISCLICE PARA MORFOMETRIA DE ENFISEMA;181508,64;TOMOGRAFIA COMPUTADA
341004;NN;TOMOGRAFIA OFTALMOLOGICA. L;159686,81;TOMOGRAFIA COMPUTADA
346108;N OSMISS;TOMOGRAFIA PARA BLOQUEO;496978,17;TOMOGRAFIA COMPUTADA
346126;N OSMISS;TOMOGRAFIA PELVIS GINECOLOGICA MULTISCLICE;174161,44;TOMOGRAFIA COMPUTADA
346116;N OSMISS;TOMOGRAFIA TORACICA MULTISCLICE;174161,44;TOMOGRAFIA COMPUTADA
346130;N OSMISS;TOMOGRAFIA TRIDIMENSIONAL DE OTRAS REGIONES - HOMBRO;159686,84;TOMOGRAFIA COMPUTADA
346110;N OSMISS;URO TOMOGRAFIA;295463,08;TOMOGRAFIA COMPUTADA
