CODIGO;Descripción
340603;GALACTOGRAFIA POR LADO 2
340604;HISTEROSALPINGOGRAFIA
340605;PELVINEUMOGRAFIA
340606;GINECOGRAFIA SIN HONOR. D
340607;PELVIMETRIA RADIOLOGICA
340608;RADIOGRAFIA DE L EMBARAZO
340622;SENOGRAFIA ALTA RESOLUCIO
340701;SINUSOGRAFIA POR CATETERI
340702;VENTRICULOGRAFIA POR INYE
340703;ARTERIOGRAFIA CEREBRAL
340704;ARTERIOGRAFIA CAROTIDEA
340705;NEUMOENCEFALOVENTRICULOGR
340706;MIELOGRAFIA ASCENDENTE
340707;DISCOGRAFIA NEUROGRAFIA
340801;CONTROL RADIOSCOPIA
340802;CONTROL RADIOSCOPICO P/CO
340803;CONTROL RADIOCOPICO P/CAT
340804;CARDIOGRAFIA O ANGIOCAR 6
340805;CORONARIOGRAFIA
340806;INVESTIG DE FISTULA VASCU
340807;PANARTERIOGRAFIA DEL CAYA
340808;AORTOGRAFIA POR PUNCION L
340809;AORTOGRAFIA POR PUNCION L
340810;ARTEROGRAFIA DE ARTERIAS
340811;ARTEROGRAFIA SELECTIVA RA
340812;ARTERIOGRAFIA PERIFERICAS
340813;ARTERIOGRAFIA PERIFERICAS
340814;CAVOGRAFIA
340815;CAVOGRAFIA 4 EXPOSIC. B
340816;ESPLENOPORTOGRAFIA P/ ESP
340817;ESPLENOPORTOGRAFIA
340818;FLEBOGRAFIA SELECTIVA
340819;FLEBOGRAFIA SELECTIVA
340820;FLEBOG. MIEMBRO SUP. O IN
340821;FLEB.MIEMB.SUPE. O INF.PO
340822;LINFOGRAFIA POR EXPOSICIO
340901;TOMOGRAFIA LINEAL CUALQUI
340902;TOMOGRAFIA HIPOCICLOIDAL
340903;FISTULOGRAFIA ESTUDIO COM
340904;DACRIOCISTOGRAFIA MINIMO
340905;RADIOGRAFIA EN QUIROFANO
340906;RADIOG.EN QUIROF.O HABITA
340907;RADIOSCOPIA EN QUIROFANO
340908;RADIOGRAFIA A DOMICILIO
340909;RADIOGRAFIA A DOMICILIO R
341001;T.A.C CEREBRAL. I
341002;T.A.C CEREBRAL REFORZADA.
341003;T.A.C CEREBRAL DE CONTROL
341004;T.A.C OFTALMOLOGICA. I
341005;T.A.C TIROIDEA. I
341006;T.A.C MAMARIA. I
341007;T.A.C GINECOLOGIA. I
341008;T.A.C COMPLETA DE ABDOMEN
341009;T.A.C HEPATOBILIAR,ESPLEN
341010;T.A.C TORACICA
341011;T.A.C VEJIGA Y PROSTATA
341012;T.A.C DE OTROS ORGANOS O
341013;T.A.C. COLUMNA
350101;ROENTGENOTERAPIA SUPERFIC
350102;TELECOBALTOTERAPIA,TELECE
350103;BETATERAPIA
350104;COBALTOTERAPIA
350201;HASTA 1000 MG/HORA
350202;C/1000 MG/HORA EXCEDENTE
350203;ALQUILER DE RADIUN POR TR
360101;URETROCISTOSCOPIA INS. RI
360102;URETROCISTOFIBROSCOPIA
360103;SONDAJE VESICAL
360104;SONDAJE VESICAL-CISTOGRAF
360105;CISTOTONOMANOMETRIA
360106;DILATACION URETRAL
360107;URETROSCOPIA
400101;ARANC.GLOBAL 24 HORAS DE
400102;CONTROL DE PRESION
400103;DETERM.SUBS.Y MAX. 6 POR
400104;CONSUMO DE OXIGENO METOD
410101;ARANC.GLO. POR 24 HORAS A
420101;CONSULTA EN CONSULTORIO
420103;CONSULTA EN HORARIO NOCT.
420201;VISITA MEDICA EN DOMICILIO
420202;ARANCEL POR C/10 KM.RECORRICO FUERA DEL RAD.URBANO
420203;VISITA MEDICA EN HORARIO NOCTURNO Y/O FERIADOS
420301;ATENCION MED.EN INTERNACION CLINICA X DIA DE INTER
420303;INTERCONSULTA ESPECIALIZADA EN INTERNACION
430101;PENSION EN SANATORIO
430102;1 CAMA EN HAB.DE 2
430103;1 CAMA EN HAB. DE 3
430104;1 CAMA EN HAB. DE + DE 3
430105;AT. RECIEN NACIDO
430106;1 CAMA ACOMPA#A#TE
430107;1 CAMA ACOMPA#ANTE HAB 2
430108;1 CAMA ACOMP. HAB. DE 3
430201;CURACIONES
430202;CURACIONES QUEMADOS
430301;INYECCIONES AMBUL C/U
430401;NEBULIZ.CON NEB. INC. OXI
430402;NEBUL C/RESP O NEBUL ULTR
430501;INCUBADORA ISOLETTE C/DIA
430601;LUMINOTERAIA POR DIA
430901;OXIGENOTERAPIA POR DIA
431001;MAT DESC POR DIA
431002;MAT DESC EN TIUC POR DIA
431101;OXIGENO EN QUIROF POR ACT
431102;O2 CIRUG.C/CIRC EXTRACORP
431103;O2 ASIST RESP TIUC POR DI
431104;O2 EN CUID ESP POR DIA
431105;ASIST RESP EN TER NEONAT
440101;UNID.CORON.MOVIL POR HORA
