CODIGO;Descripción
040108;PARATIROIDECTOMIA
040201;ADRENALECTOMIA BILATERAL
040202;ADRENALECTOMIA UNILATERAL
040301;HIPOFISECTOMIA TRANSEPTOE
050101;RESECCION DE PLEURA PARIE
050102;OPER. PLASTICA POR TORAX
050103;TOROCOPLASTIA POR CADA TI
050201;TRAQUEOPLASTIA
050202;TRAQUEOSTOMIA TRAQUEOTOMI
050203;TRQUEORRAFIA POR ACCESO C
050301;TRAQUEOPLASTIA POR ACCESO
050302;BRONCOTOMIA BRONCORRAFIA
050303;CAVERNOSTOMIA
050304;CIERRE DE FISTULA BRONCO
050401;NEUMONECTOMIA LOBECTOMIA
050402;ESCISION LOCAL DE LESION
050403;OP. EN EL MEDIASTINO VIA
050404;NEUMOMEDIASTINO
050405;MEDIASTINOSCOPIA
050406;TORACOTOMIA AMPLIA EXPLOR
050407;DRENAJE DE PLEURA CON TRO
050408;PUNCION DE CAVIDAD PLEURA
050409;PUNCION BIOPSIA DE PLEURA
050410;BIOPSIA DE GRASA PRE-ESCA
050411;NEUMOTORAX POR CADA INYEC
060101;MASTECTOMIA RADICAL RESEC
060102;MASTECTOMIA SUBRADICAL CO
060103;MASTECTOMIA SIMPLE
060104;MASTECTOMIA SUBCUTANEA AD
060105;MASTOPLASTIA UNILATERAL C
060106;MASTOPLASTIA BILATERAL CO
060107;MAMILOPLASTIA EN UNO O DO
060108;ESCISION LOCAL DE LESION
060109;ESCISION DE CUADRANTE MAM
060110;DRENAJE DE ABSCESO MAMARI
060111;PUNCION QUISTE MAMARIO PU
070101;SEPTOSTOMIA INTERAURICULA
070102;SEPTOSTOMIA CON BALON DE
070103;COLOCACION DE MARCAPASO D
070104;COLOCACION DE MARCAPASO D
070105;CAMBIO DE GENERADOR DE MA
070106;IMPLANTACION DE CIRCULACI
070107;MANTENIMIENTO DE CIRCULAC
070108;CARDIORRAFIA SUTURA DE CO
070109;PERICARDIOTOMIA CO EXP.DR
070110;BIOPSIA DE PERICARDIO
070111;PERICARDIOCENTESIS DIAG,
070112;CATETERISMO DE CORAZON PA
070201;TRAT. QUIR. CARDIOPATIAS
070202;TRAT. QUIR. CARDIOPATIAS
070203;REEMPLAZO DE VALVULA CARD
070204;DOBLE REEMPLAZO VALVULAR
070205;REEMPLAZO DE UNA VALVULA
070206;CIERRE DEFECTOS SEPTIALES
070207;TRAT. QUIR. ANEURISMAS CA
070208;TRAT. QUIR. ANEUR. AORTA
070209;DERIVACION BY-PASS AORTO
070210;DERIV. BY-PASS MAMARIO CO
070211;RESECCION DE ANEURISMA VE
070212;RESECCION DE ANEURISMA VE
070301;CIRUGIA EN LOS GRANDES TR
070302;TRAT. QUIR. DEL ANEURISMA
070401;TRAT. QUIR. ANEU, AORTA A
070402;CIRUGIA DE LAS RAMAS VISC
070403;DERIVACION AORTO O ILIACO
070404;DER. AORTO BIFEMORAL CON
070405;DER. AORTO ILIACO UNIBILA
070406;OTRAS DER. ARTERIALES EN
070407;ANASTOMOSIS PORTO-CAVA O
070408;CIRUGIA DE LA VENA CAVA L
070409;COCLOCACION DE FILTRO MOB
070501;CIRUGIA DE LA ARTERIA CAR
070502;SUTURA O LIGADURA DE LOS
070503;GLOMECTOMIA TUMOR DE GLOM
070601;EMBOLECTOMIA EN ARTERIAS
070602;TROMBOENDARTER.DE VASOS P
070603;DERIV. BY PASS DE VASOS P
070604;DERIV BY PASS VASOS PER.C
070605;TRAT.ANEUR.DE FISTUL.ARTE
070606;ANASTOMOSIS ARTERIAL ARTE
070607;SHUNT O FISTULA ARTERIOV.
070608;DISEC ARTERIAS P/PERFUSIO
070609;PUNCION ARTER. P/INYEC.ME
070610;LIGADURA UNIL.TRONCOS VEN
070611;TROMBECTOMIA VENOSA PROFU
070612;SAFENECT.INT.Y/0 EXT.D/MI
070613;SAFENEC.INT.Y/O EXT.MIEND
070614;OPER.LINTON GOCKETT O SIM
070615;FLEBOTOMIA C/COLOC.CATETE
070616;FLEBECTOMIA SEGMENT.P/VAR
070701;CATETERISMO CORAZON P/DIA
070702;CARDIOGRAFIA-ANGIOCARDIOG
070703;CORONARIOG.SELEC.D/COR.IZ
070704;AORTOGRAFIA P/PUNCION LUM
070705;AORTOG.ABDOM.Y EST.SELEC.
070706;AORTOGR.ABDOM.E.S.ART.CAT
070707;AORT.TORAXICA Y/O EST.SEL
070708;AORTOG.ABDOM.Y EST.SELECT
070709;CAVOGRAFIA ABDOM.Y/O TORA
070710;ACIGOGRAFIA P/PUNCION TRA
070711;FLEBOGRAFIA D/SENO PETROS
070712;ARTERIOG.SELEC.D/ARTER.IN
070713;FLEBOG.SUPRARRENAL BIL.C/
070714;ARTERIOGRAFIA PERIFERICA
070715;EMBOL.SELEC.TERAPEUT.Y/O
070716;FLEBOGRAFIA MIEMB.INFER.O
080101;ESOFAG.TOTAL Y RECONS.EN
080102;ESOFAG.SEGMENT.Y RECONS E
080103;ESOFAGUECTOMIA TOTAL
080104;REEMPLAZO DE ESOFAGO
080105;ESOFAGOGASTROPLASTIA
080106;OPER.DERIVADAS PALIATIVAS
080107;TRAT.D/L/ATRESIA ESOFAGIC
080108;ESOFAGOTOMIA EXPLOR.P/VIA
080109;ESCIS.DIVERTICULO ESOFAG.
080110;ESOFAGOTOMIA O ESOFAGORRA
080111;ESC.DIVERTICULO D/ESOFAGO
080112;INTUBACION DE ESOFAGO
080113;COLOC.TUBO DE SOUTARD
080201;DERMOLIPECTOMIA ABDOM.C/S
080202;HERNIOPLASTIA DIAFRAG. O
080203;HERNIOPLASTIA INGUINAL CR
080204;TRAT.QUIRUR.D/ONFALOCELE
