practica;nomenclador;valor
CARIOTIPO LIQUIDO AMNIOTICO;NBU;PRESUPUESTO
FISH EN PARAFINA;NBU;PRESUPUESTO
NIPT SIMPLE;NBU;PRESUPUESTO
MICROARRAYS PRENATALES;NBU;2159160
TEST DE DEB DIEPOXIBUTANO;NBU;296592,82
CARACTERIZACION GENETICA DE CROMOSOMAS MARCADORES;NBU;396236,5
IGVH EN LCC ESTADO MUTACIONAL DEL GEN;NBU;411522,6
MUTACIONES EN LOS GENES IDH1 E IDH2;NBU;342935,5
ESTADO DE METILACION DEL GEN MGMT POR MLPA SENSIBLE A METILACION;NBU;411522,6
ACETONA EN SANGRE;NBU;1851,86
ESTADO DE ACIDO BASE-EB-;NBU;9078,66
RECUENTO DE ADDIS;NBU;2743,92
PROTEINA DE BENCE JONES;NBU;1874,44
CLORO EN SANGRE;NBU;2461,62
CREATININA EN SANGRE;NBU;4991
LIQUIDOS DE PUNCION FIS.QUIM.;NBU;4686,12
FOSFATO EN ORINA;NBU;4494,16
GLUCEMIA EN AYUNAS;NBU;3263,35
PRUEBA DE TOLERANCIA A LA GLUC.;NBU;6176,64
IONOGRAMA PLASMATICO;NBU;7576,84
IONOGRAMA EN ORINA;NBU;8423,73
ACIDO LACTICO;NBU;4550,62
LIQ.CEFALORRAQUIDEO FIS.QUIM.(L.C.R.);NBU;4132,82
MAGNESIO EN SANGRE MG.;NBU;4550,62
MAGNESIO EN ORINA;NBU;2156,74
ORINA COMPLETA;NBU;4426,41
OSMOLARIDAD EN SANGRE;NBU;2710,04
PCO2 EN SANGRE;NBU;7780,1
PH POTENCIOMETRICO EN SANGRE;NBU;5883,05
POTASIO EN SANGRE;NBU;5137,8
PROTEINURIA DE 24 HORAS;NBU;3161,72
SODIO EN SANGRE;NBU;4019,9
UREA EN SANGRE;NBU;3669,85
ACIDO URICO EN SUERO;NBU;5724,98
ACIDO URICO EN ORINA -;NBU;3093,97
ERITROSEDIMENTACION;NBU;3082,68
FERREMIA;NBU;6605,74
FORMULA LEUCOCITARIA;NBU;1998,66
RECUENTO DE LEUCOCITOS;NBU;1851,86
RECUENTO DE HEMATIES;NBU;1851,86
HEMATOCRITO;NBU;2427,74
HEMOGLOBINA;NBU;1851,86
HEMOGLOBINAS INESTABLES;NBU;3398,85
PRUEBA DE SICKLING;NBU;2021,24
HEMOGRAMA COMPLETO;NBU;4821,63
PAUL BUNNEL;NBU;5047,46
RECUENTO DE PLAQUETAS;NBU;3037,51
RETICULOCITOS;NBU;3082,68
TRANSFERRINA;NBU;10072,35
INVESTIG.DE CUERPOS DE HEINZ;NBU;925,93
ALDOLASA;NBU;5770,14
AMILASA DE SANGRE;NBU;4403,83
BILIRRUBINA TOTAL Y DIRECTA;NBU;2551,96
RETRAC.DEL COAGULO;NBU;1851,86
TIEMPO DE SANGRIA;NBU;2156,74
COLESTEROL TOTAL;NBU;5724,98
CREATINFOSFOQUINASA(CPK);NBU;11348,33
FACTOR V;NBU;3252,05
FACTOR VIII;NBU;3319,8
FACTOR IX;NBU;3319,8
FACTOR X-NN 335-;NBU;3805,35
FIBRINOGENO FUNCIONAL;NBU;5250,72
FOSFATASA ACIDA TOTAL;NBU;2551,96
FOSFATASA ALCALINA;NBU;2551,96
FOSFOLIPIDOS;NBU;3466,6
GAMMAGLUTAMILTRANSPEPT;NBU;5442,68
HEPATOGRAMA COMPLETO;NBU;14453,6
ANTITROMBINA III;NBU;3376,26
LDH-LACTICODEHIDROGENASA;NBU;6086,32
SIGNO DE LAZO;NBU;1851,86
LIPIDOS TOTALES;NBU;3500,47
LIPIDOGRAMA;NBU;3906,97
PSEUDOCOLINESTERASA;NBU;3093,97
5?UCLEOTIDASA;NBU;4787,74
ALBUMINA;NBU;2551,96
PROTEINAS TOTALES;NBU;2405,16
FACTOR II;NBU;3093,97
SANGRE OCULTA EN MATERIA;NBU;1851,86
TRANSAMINASA GLUTAMINICO OXALACETICA;NBU;3692,43
TRANSAMINASA GLUTAMINICO PIRUVICA;NBU;3692,43
TRIGLICERIDOS;NBU;7080
TIEMPO DE TROMBOPLASTINA;NBU;13505,08
TIEMPO DE TROMBINA;NBU;2710,04
BICARBONATO EN ORINA;NBU;6989,66
BICARBONATO EN SANGRE;NBU;6989,66
PCO2 EN ORINA;NBU;7791,39
CLEARENCE DE CREATININA;NBU;5115,21
